src_ip,dst_ip,protocol,src_port,dst_port,pkt_len
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,75
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,75
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,75
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,77
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,79
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,81
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,83
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,68
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,85
